,id,month,pano_id,pt_lat,pt_lng,r_lat,r_lng,year
0,0.0,12,pV6jtRc157XZtWpVIR-rtg,-33.85693858,151.2144895,-33.8569385757,151.214489514,2015
1,0.0,,mH57MBnD6z1VusFNzvrEoA,-33.85693858,151.2144895,-33.8576952474,151.214286094,
2,0.0,,Gq1gccXGTM0UCdkxIvjvkg,-33.85693858,151.2144895,-33.8579385688,151.214221292,
3,0.0,,8eJDJnbtDVD6Tf8wO9c-hg,-33.85693858,151.2144895,-33.8579774852,151.214240428,
4,0.0,,uJULZnEQVGY8r4vTl-ANnQ,-33.85693858,151.2144895,-33.8580713322,151.214051887,
5,0.0,,KLitJuDdzwTZ0sddilV2nw,-33.85693858,151.2144895,-33.8577720371,151.2142676,
6,0.0,,pNbIKmkyJnr7B2TQWk3sxg,-33.85693858,151.2144895,-33.8578318254,151.214249671,
7,0.0,,jojVCc9UmxJXxMM4vgAFTQ,-33.85693858,151.2144895,-33.8574576346,151.214348194,
8,0.0,,JMbTwAvB2zOa_TfcLCKSwQ,-33.85693858,151.2144895,-33.8574886112,151.214344909,
9,0.0,,kcN9LIKykUf7Ivo4EdqihA,-33.85693858,151.2144895,-33.857651341,151.214295064,
10,0.0,,QHQTTGU4c5FPNTRAef8NMQ,-33.85693858,151.2144895,-33.8572817871,151.214387339,
11,0.0,,Dnwib32GDUwR0ZEUpaRjwA,-33.85693858,151.2144895,-33.8572153867,151.21440871,
12,0.0,,fyU-UFzcm46oYIHpfaqdEA,-33.85693858,151.2144895,-33.8571528618,151.214427814,
13,0.0,,UnQPs_i5Ve4PKBsiiKCGIg,-33.85693858,151.2144895,-33.857092658,151.214451155,
14,0.0,,OH7ReEUauWGKYqUwff4csA,-33.85693858,151.2144895,-33.8570111788,151.21447386,
15,0.0,,OnYNY2pKaDwzFGfyJeLqNg,-33.85693858,151.2144895,-33.8564391022,151.214620884,
16,0.0,,I95doIUXhL83xMfzNEqR1Q,-33.85693858,151.2144895,-33.8561772486,151.214660449,
17,0.0,,rIEeGHBXWkxsaZK7CHniIg,-33.85693858,151.2144895,-33.8562411296,151.21468919,
18,0.0,,3kk0PXBCYzWq9XFxkynAUg,-33.85693858,151.2144895,-33.8563639752,151.214640007,
19,0.0,,U-xGOUhYBvhoQLW3fRWiMQ,-33.85693858,151.2144895,-33.85649957,151.214604547,
20,0.0,,0Ih6zwlaAi7BJBPMyCGzIw,-33.85693858,151.2144895,-33.8565671735,151.214589626,
21,0.0,,iEEnn7eeubWaaOGtgyZFkA,-33.85693858,151.2144895,-33.8566453495,151.21456706,
22,0.0,,D2hYV0KIE5z2DT3zKISPIw,-33.85693858,151.2144895,-33.8567304764,151.214546454,
23,0.0,,T3Olav_5BHcO4mp26-p5uA,-33.85693858,151.2144895,-33.8567970078,151.214532489,
24,0.0,,pV6jtRc157XZtWpVIR-rtg,-33.85693858,151.2144895,-33.8569385757,151.214489514,
25,0.0,,aX3nhhCruYOr-i1vSef13Q,-33.85693858,151.2144895,-33.8568613273,151.214511418,
26,1.0,8,DgNezf4jU6IAAAQYLE57aQ,41.8781136,-87.6297982,41.8781136,-87.6297982,2010
